ROG (A),CV (J/K),TAUS (fs)
13.53347073,0.670542861,53341.495
14.0065731,0.70087817,63639.958
13.71327824,0.664366768,57569.147
13.79314177,0.711097547,56539.877
14.15879797,0.817116086,71821.047
13.92442638,0.648817327,60833.766
14.22511547,0.664672019,65108.808
13.78666058,0.659037045,60756.136
13.25072262,0.680554996,50608.266
13.82632959,0.695307591,60920.259
14.28691044,0.72147553,72832.823
13.86647684,0.701709517,64732.221
14.54470935,0.71634486,75002.146
14.08613893,0.682749736,64612.581
14.74765575,0.614608002,78625.309
13.52117709,0.800795413,56507.096
14.70466797,0.639282703,83560.372
16.64007903,0.559640936,119918.492
13.31044177,0.824400082,52975.906
13.33228075,0.84319619,51322.965
13.39480198,0.677364245,54382.885
13.34206318,0.741889485,50791.809
19.26092781,0.741547151,195143.648
13.83266786,1.187877158,59130.916
14.12090578,0.647234858,67190.589
13.7809528,0.890756599,62237.677
13.69356126,0.626092678,55140.04
14.36879814,0.62235424,70481.542
14.3167629,0.656633283,72934.858
14.86565505,0.542388898,75606.377
15.70556398,0.574253784,89329.599
14.08765346,0.835933776,63953.876
13.80510485,0.652804696,60141.701
13.53015078,1.007005026,60135.558
13.64691723,0.947745674,57544.111
13.66144502,0.673222173,59117.328
14.84472836,0.627865586,81436.384
14.92193486,0.608445023,80176.29
14.28136898,0.701361509,68517.717
14.55414408,0.698867382,71041.264
14.38987943,0.708122507,67704.821
14.57779098,0.71952699,72199.198
13.90910925,0.718403811,62849.219
14.07612731,0.705161102,62557.537
14.58385957,0.954541033,79831.842
14.24742889,0.660567011,63408.507
13.94719649,0.756043833,58327.14
13.74690983,0.683929944,57579.309
13.99199485,0.829769083,63767.151
15.73238793,0.606268506,94419.062
14.40212693,0.729014081,65643.222
14.26066899,0.649506128,65358.421
14.66224676,0.639768431,76831.159
14.38239931,0.680243688,70238.471
14.84538076,0.649158337,83320.7
14.29865029,0.729127601,73155.85
14.96553039,0.688167208,81754.587
14.28763031,0.606715972,65059.659
14.82837314,0.616603739,75749.134
14.62585929,0.682421573,76057.611
14.74288099,0.618361542,74054.902
17.53335564,0.618520563,144703.483
13.88470705,0.706289553,58564.973
14.64351939,0.67800642,74028.717
14.61648692,0.752011819,73572.196
13.46318647,0.826970186,53526.749
13.66198521,0.808346088,53921.716
16.19002162,0.585770949,112318.099
14.40814388,0.750722886,65425.294
14.57780402,0.696851498,75076.082
15.11773859,0.63085139,75596.988
13.95896271,0.725914985,63576.168
15.20319111,0.568603968,85448.613
13.97407814,0.687203583,61786.943
13.58349697,0.911454974,52049.412
14.20940604,0.827901337,70769.184
19.82834184,0.778526827,214841.52
15.14340682,0.67423194,88223.18
15.31359527,0.67024779,86175.439
14.77524754,0.76091235,73468.902
14.39507103,0.867326347,64698.996
14.03985719,0.827417563,54954.729
14.71332084,0.706500157,76204.822
14.99877795,0.664300513,77652.175
14.49311699,0.774324093,71038.519
15.32033387,0.687451683,90241.637
16.00288693,0.607107171,104486.166
14.90186331,0.62104585,79644.5
14.67032685,0.67798283,69339.474
14.88227335,0.782604577,78631.487
14.75726973,0.66523916,69981.27
14.39386432,0.785399443,65121.331
15.0319982,0.854494899,78800.292
14.18528956,0.783759614,65600.218
14.11736696,0.666914797,52848.081
14.28028781,0.742333177,69484.727
13.17323119,1.825716733,40884.659
14.06031436,1.025621412,56187.292
14.41406223,0.691107909,65020.913
21.69709589,0.884414549,286450.304
14.649101,1.024684423,72329.123
16.04361244,0.604705514,96473.795
15.43950874,0.662883593,89211.933
15.53600592,0.593564209,95770.096
16.92743513,0.642314722,121747.878
14.68583535,0.76584236,75024.606
14.46882234,0.883973608,70888.049
14.73133769,0.735185752,79163.92
13.88551583,0.740585108,58734.318
15.06607547,0.720824367,84687.841
15.79025491,0.639329745,102979.198
17.10548976,0.685502108,134642.199
14.90623192,0.747775413,77223.018
14.21081454,0.759970952,62703.746
14.54252763,1.010141187,68027.951
12.47236345,2.651367064,30296.961
14.76666178,0.711345871,81979.854
14.25837859,0.815331977,66630.768
14.08884346,0.811868774,62946.47
15.85550062,0.600747494,99424.699
14.65580261,0.729936602,73947.84
16.38217629,0.608586351,114302.669
14.52808625,0.948670326,74562.4
14.78782946,0.686895583,73430.241
14.72196488,0.844128521,76031.794
16.21220836,0.597264623,107792.981
14.83918327,0.789478777,80586.423
14.00373343,0.661419789,59096.49
14.20253393,0.829096711,68187.282
14.49901273,0.851002073,73806.214
14.36858379,0.816277951,73100.637
15.45161869,0.690421524,93431.393
15.23036342,0.686842406,87311.934
16.94039344,0.622893585,121603.626
17.86543059,0.690448306,140533.729
15.313895,0.865605176,86979.374
15.32440113,0.611344009,84217.702
15.26180134,0.725062064,89446.641
22.32763019,0.960905609,309704.391
14.71447621,0.828468154,77120.116
14.23754052,0.860965507,61043.896
14.68501038,0.741582808,73705.392
17.26022103,0.630142058,132808.448
16.6483804,0.628780505,118175.91
15.00761607,0.842261312,79607.656
16.01686268,0.749047811,98706.77
15.06751008,0.678768139,73405.307
15.71360684,0.705544752,97323.409
14.59497653,0.812340741,74017.731
15.17820115,0.816800332,86543.151
15.55656935,0.663480037,91107.965
15.94931096,0.678368907,102072.035
14.28131962,0.862790824,63731.84
14.22442512,0.852475639,68951.393
14.97306014,0.871440477,75068.834
14.22391121,0.770664431,64373.771
14.58925803,0.852781932,76926.668
15.21222206,0.658242994,79056.118
15.30855349,0.800674706,90143.948
14.94521127,0.824457045,77999.601
14.69054458,0.728766756,69959.692
15.00517311,0.741134534,77172.168
15.08543437,0.81763374,82405.52
15.35732822,0.683535887,93523.684
15.22994058,0.73793513,87319.148
17.72535782,0.742655486,151566.645
14.48000794,1.044464434,67335.85
15.03389903,0.70299231,76046.145
15.2954418,0.70354908,81405.58
15.20483805,0.753205485,83842.296
15.18960763,0.712455463,83046.012
21.48637754,0.904592582,279226.459
15.00180089,0.93488265,82596.639
14.76108702,0.960119322,74244.285
16.30757493,0.629766582,111783.208
14.48080419,0.792100741,70473.365
14.47189932,0.866669175,63519.376
14.71438854,0.801433649,77549.557
15.61273583,0.787063425,98837.491
15.10941329,0.652722645,82606.587
16.35335623,0.639970681,103635.275
14.3300164,1.027856353,72446.749
15.0304624,0.793398241,83263.169
15.05159194,0.693874258,81249.975
15.48515741,0.866575716,94692.978
15.09146083,0.876594993,83161.992
15.30981972,0.806890475,91627.141
15.18903749,0.90932395,85589.58
15.48025581,0.736572107,89903.027
16.50884581,0.69049584,104589.434
19.45787398,0.76504265,202877.466
15.76754293,0.83137879,92839.102
14.45414923,0.841760337,69969.835
14.88020766,0.879758338,76456.304
14.54516552,0.746216894,62874.877
14.58998492,0.789469833,65354.691
14.69153021,0.802476549,71440.697
15.6048595,0.792850378,94504.81
15.80374259,0.887940467,90690.162
15.96855973,0.726014034,104656.132
18.40070651,0.713342151,171888.089
15.00209785,0.784673753,79137.836
15.67407637,0.812517677,102519.193
15.34825234,1.075545316,87706.387
15.37317534,0.782745721,86996.858
15.6229085,0.816541334,92946.495
16.1706818,0.706770176,104769.908
15.26979797,0.897406415,90705.594
16.49352267,0.636384813,106814.132
15.2158539,0.819246205,82113.854
14.7685375,0.82474178,74793.991
15.22144671,0.941914122,92244.661
16.01330416,0.644474851,93624.044
15.29377194,0.965556052,93955.042
15.51062217,0.812559309,86873.05
15.13166878,0.722124167,78285.837
14.9177991,0.872610196,75297.839
16.33832213,0.959232354,117027.181
17.84185136,0.683673554,147260.036
15.38309104,0.747829065,89501.514
15.41443447,0.703923964,81700.23
15.08953843,0.800225091,86863.417
15.63642254,0.713725042,93871.998
15.64834911,0.659130478,95776.747
14.92869418,0.883001972,74278.955
13.6104346,2.577845289,46161.353
15.72255704,0.730404459,97026.296
15.84447632,0.693033061,102010.057
14.75598557,0.842798163,72165.994
14.67852206,0.784591772,67809.8
15.03195862,0.980531884,77598.08
16.05917619,0.729758168,107272.413
15.88562935,0.816913947,87302.145
14.99777684,0.889874314,73163.91
15.78464412,0.80031194,93466.369
14.88544793,1.238233903,77303.909
15.47457366,0.936539956,91036.977
15.83915623,0.726479534,96794.111
15.59128218,0.79326586,94850.602
15.6589211,0.940955837,97176.468
15.68864016,0.875347858,93564.181
16.09739016,0.833009544,107084.242
16.0413818,0.798355922,107465.034
15.15846793,1.219953446,74562.397
15.13119196,1.056154445,82406.294
17.75318563,0.684050383,143356.731
14.77918198,0.855162,68629.235
15.43572318,0.805694654,83223.644
16.22409597,0.654176851,100164.785
16.12483829,0.815866648,102743.103
17.55044558,0.905750772,147233.39
14.90377704,1.819744668,71068.003
15.22982502,1.097423381,89280.066
15.8016439,0.763465504,94442.214
16.78447259,0.689608725,123986.639
15.89967358,0.869744902,110208.547
16.14880274,0.808636568,109473.612
15.67738148,0.977827204,85762.284
15.24048031,1.000744193,84311.198
16.76268385,0.749643969,114450.313
16.71045242,0.737424194,120597.315
15.47086326,0.906218322,91659.342
15.57102566,0.84378193,95104.613
16.89663576,0.669688557,116317.58
15.30126237,0.885071148,75751.082
